_id,societyId,residentId,flatId,complaintNumber,title,description,category,priority,status,residentFeedback,expectedResolutionAt,actualResolutionAt,isArchived,predictionStatus,aiOverridden,createdAt,attachments,__v,updatedAt
6a60919d62a1662d3b68031d,6a5b33f154b73fc9cb5effdf,6a5e40d56ed32b9a22aee986,6a5b4909656cac97daff6b79,CMP-2026-0001,Vobis solitudo tamquam solitudo tametsi vito absorbeo.,Coaegresco sollicito tollo. Vobis supra sapiente sunt delibero comparo decerno suspendo vulgus. Textilis assumenda acquiro thesaurus venio acidus deprimo est.,SECURITY,LOW,assigned,,2026-06-15 12:04:18.539,,False,PENDING,False,2026-06-13 12:04:18.539000+00:00,[],0,2026-07-22 09:47:09.303000+00:00
6a60919d62a1662d3b68031e,6a5b33f154b73fc9cb5effdf,6a605fde07be72cd0147a6cc,6a5e3f3f6ed32b9a22aee94c,CMP-2026-0002,Blanditiis caute delibero.,Sui atrocitas excepturi aspicio tenus vestrum. Arcus depraedor cotidie ubi vere credo comedo. Audeo antea stips thermae nam voluptate reiciendis.,OTHER,MEDIUM,closed,,2026-06-09 10:16:00.908,2026-07-13 20:52:54.385,False,PENDING,False,2026-06-07 10:16:00.908000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b68031f,6a5b33f154b73fc9cb5effdf,6a5faffaf9a6aaf7b13e2e1f,6a5e3f3f6ed32b9a22aee922,CMP-2026-0003,Deputo veritas vinculum expedita casus supplanto corona deserunt calamitas.,Soleo coma tenuis tero ulterius. Amita verbum condico trepide velociter adicio autus claustrum quis aiunt. Ducimus strenuus umerus sit.,SECURITY,HIGH,resolved,,2026-05-15 17:09:47.084,2026-05-30 18:54:46.516,False,PENDING,False,2026-05-13 17:09:47.084000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b680320,6a5b33f154b73fc9cb5effdf,6a5e40d56ed32b9a22aee986,6a605be607be72cd0147a5b1,CMP-2026-0004,Solio dolores statim depraedor vester ducimus aequus minima possimus vilis.,Celo alter depereo delego adamo suasoria. Sustineo cupio accendo verbera testimonium asperiores coma perferendis. Armarium atrocitas ustilo clam numquam.,CLEANING,MEDIUM,in_progress,,2026-04-27 06:06:39.194,,False,PENDING,False,2026-04-25 06:06:39.194000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b680321,6a5b33f154b73fc9cb5effdf,6a605fde07be72cd0147a6cc,6a5e3f3f6ed32b9a22aee915,CMP-2026-0005,Vicinus ultra virtus admoveo.,Denique acer corrumpo cupio peccatus spectaculum tumultus. Cui thalassinus varietas celebrer vox ultio suus constans vacuus. Vis a acceptus combibo vulnero arcesso aspicio tempora aegrus.,PARKING,MEDIUM,assigned,,2026-05-01 04:58:36.455,,False,PENDING,False,2026-04-29 04:58:36.455000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b680322,6a5b33f154b73fc9cb5effdf,6a5b5008120eac5c280cb195,6a5e3f3f6ed32b9a22aee90e,CMP-2026-0006,Caecus cedo defluo carus minus uberrime crapula damnatio tristis.,Adhaero itaque defendo surgo cras. Delicate magnam solvo deinde quia brevis tabella creber autem. Carpo argentum tepidus cattus antiquus.,PARKING,MEDIUM,closed,,2026-05-08 20:51:21.189,2026-05-08 16:23:52.075,False,PENDING,False,2026-05-06 20:51:21.189000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b680323,6a5b33f154b73fc9cb5effdf,6a5fb2a4f9a6aaf7b13e2f11,6a5e3f3f6ed32b9a22aee90a,CMP-2026-0007,Animadverto adfero adeo callide.,Quibusdam vapulus tergum supplanto. Conventus autus videlicet libero totidem. Thermae amicitia summa vero thymbra.,LIFT,MEDIUM,assigned,,2026-05-13 12:25:48.779,,False,PENDING,False,2026-05-11 12:25:48.779000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b680324,6a5b33f154b73fc9cb5effdf,6a5faffaf9a6aaf7b13e2e1f,6a5b4909656cac97daff6bcc,CMP-2026-0008,Tametsi thema creber thema demens supplanto auditor.,Trans trepide auditor accusator succedo conor. Tenuis vivo vapulus appono theologus statim. Usitas tardus aliquid comprehendo cupiditas a patria.,PARKING,MEDIUM,in_progress,,2026-05-02 02:26:34.906,,False,PENDING,False,2026-04-30 02:26:34.906000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b680325,6a5b33f154b73fc9cb5effdf,6a5faffaf9a6aaf7b13e2e1f,6a5e3f3f6ed32b9a22aee907,CMP-2026-0009,Depromo audentia clementia theologus claustrum subiungo certe.,Coaegresco valetudo vindico asporto contego statim verus arbor alveus cupiditas. Adhuc audentia peior alias comedo pel averto stultus caries sponte. Cavus cimentarius ventosus cetera turba auxilium.,LIFT,CRITICAL,resolved,,2026-05-07 18:00:07.450,2026-07-22 08:41:38.608,False,PENDING,False,2026-05-05 18:00:07.450000+00:00,[],0,2026-07-22 09:47:09.304000+00:00
6a60919d62a1662d3b680326,6a5b33f154b73fc9cb5effdf,6a5faffaf9a6aaf7b13e2e20,6a5b4909656cac97daff6bc8,CMP-2026-0010,Charisma adversus conculco aegre abduco.,Conscendo aliqua eius. Vulgaris cenaculum sponte est. Solvo appono tertius apto recusandae benigne.,PLUMBING,HIGH,open,,2026-06-20 08:49:00.869,,False,PENDING,False,2026-06-18 08:49:00.869000+00:00,[],0,2026-07-22 09:47:09.305000+00:00
